"period","target","price_p1","price_p2","price_p3","price_p4","price_p5","price_p6","price_p7","price_p8","price_p9","price_p10","price_p11","price_p12","price_p13","mean_3","mean_5","mean_10","mean_15","median_5","day","month"
2021-12-01,1784.3,1776.5,1785.2,1788.1,1786.9,1786.3,1809.1,1854.3,1864,1872.8,1854.1,1866.6,1868.5,1863.9,1783.26666666667,1784.6,1817.73,1830.36,1786.3,"4","12"
2021-12-02,1762.7,1784.3,1776.5,1785.2,1788.1,1786.9,1786.3,1809.1,1854.3,1864,1872.8,1854.1,1866.6,1868.5,1782,1784.2,1810.75,1827.26,1785.2,"5","12"
2021-12-03,1783.9,1762.7,1784.3,1776.5,1785.2,1788.1,1786.9,1786.3,1809.1,1854.3,1864,1872.8,1854.1,1866.6,1774.5,1779.36,1799.74,1821.55333333333,1784.3,"6","12"
2021-12-06,1779.5,1783.9,1762.7,1784.3,1776.5,1785.2,1788.1,1786.9,1786.3,1809.1,1854.3,1864,1872.8,1854.1,1776.96666666667,1778.52,1791.73,1816.22,1783.9,"2","12"
2021-12-07,1784.7,1779.5,1783.9,1762.7,1784.3,1776.5,1785.2,1788.1,1786.9,1786.3,1809.1,1854.3,1864,1872.8,1775.36666666667,1777.38,1784.25,1810.28666666667,1779.5,"3","12"
2021-12-08,1785.5,1784.7,1779.5,1783.9,1762.7,1784.3,1776.5,1785.2,1788.1,1786.9,1786.3,1809.1,1854.3,1864,1782.7,1779.02,1781.81,1804.82666666667,1783.9,"4","12"
2021-12-09,1776.7,1785.5,1784.7,1779.5,1783.9,1762.7,1784.3,1776.5,1785.2,1788.1,1786.9,1786.3,1809.1,1854.3,1783.23333333333,1779.26,1781.73,1800.25333333333,1783.9,"5","12"
2021-12-10,1784.8,1776.7,1785.5,1784.7,1779.5,1783.9,1762.7,1784.3,1776.5,1785.2,1788.1,1786.9,1786.3,1809.1,1782.3,1782.06,1780.71,1793.84666666667,1783.9,"6","12"
2021-12-13,1788.3,1784.8,1776.7,1785.5,1784.7,1779.5,1783.9,1762.7,1784.3,1776.5,1785.2,1788.1,1786.9,1786.3,1782.33333333333,1782.24,1780.38,1788.56666666667,1784.7,"2","12"
2021-12-14,1772.3,1788.3,1784.8,1776.7,1785.5,1784.7,1779.5,1783.9,1762.7,1784.3,1776.5,1785.2,1788.1,1786.9,1783.26666666667,1784,1780.69,1784.16666666667,1784.8,"3","12"
2021-12-15,1764.5,1772.3,1788.3,1784.8,1776.7,1785.5,1784.7,1779.5,1783.9,1762.7,1784.3,1776.5,1785.2,1788.1,1781.8,1781.52,1780.27,1781.71333333333,1784.8,"4","12"
2021-12-16,1798.2,1764.5,1772.3,1788.3,1784.8,1776.7,1785.5,1784.7,1779.5,1783.9,1762.7,1784.3,1776.5,1785.2,1775.03333333333,1777.32,1778.29,1780.26,1776.7,"5","12"
2021-12-17,1804.9,1798.2,1764.5,1772.3,1788.3,1784.8,1776.7,1785.5,1784.7,1779.5,1783.9,1762.7,1784.3,1776.5,1778.33333333333,1781.62,1781.84,1781.01333333333,1784.8,"6","12"
2021-12-20,1794.6,1804.9,1798.2,1764.5,1772.3,1788.3,1784.8,1776.7,1785.5,1784.7,1779.5,1783.9,1762.7,1784.3,1789.2,1785.64,1783.94,1782.13333333333,1788.3,"2","12"
2021-12-21,1788.7,1794.6,1804.9,1798.2,1764.5,1772.3,1788.3,1784.8,1776.7,1785.5,1784.7,1779.5,1783.9,1762.7,1799.23333333333,1786.9,1785.45,1782.76,1794.6,"3","12"
2021-12-22,1802.2,1788.7,1794.6,1804.9,1798.2,1764.5,1772.3,1788.3,1784.8,1776.7,1785.5,1784.7,1779.5,1783.9,1796.06666666667,1790.18,1785.85,1783.57333333333,1794.6,"4","12"
2021-12-23,1811.7,1802.2,1788.7,1794.6,1804.9,1798.2,1764.5,1772.3,1788.3,1784.8,1776.7,1785.5,1784.7,1779.5,1795.16666666667,1797.72,1787.52,1784.76666666667,1798.2,"5","12"
2021-12-27,1808.8,1811.7,1802.2,1788.7,1794.6,1804.9,1798.2,1764.5,1772.3,1788.3,1784.8,1776.7,1785.5,1784.7,1800.86666666667,1800.42,1791.02,1788.03333333333,1802.2,"2","12"
2021-12-28,1810.9,1808.8,1811.7,1802.2,1788.7,1794.6,1804.9,1798.2,1764.5,1772.3,1788.3,1784.8,1776.7,1785.5,1807.56666666667,1801.2,1793.42,1789.69333333333,1802.2,"3","12"
2021-12-29,1805.8,1810.9,1808.8,1811.7,1802.2,1788.7,1794.6,1804.9,1798.2,1764.5,1772.3,1788.3,1784.8,1776.7,1810.46666666667,1804.46,1795.68,1791.78666666667,1808.8,"4","12"
2021-12-30,1814.1,1805.8,1810.9,1808.8,1811.7,1802.2,1788.7,1794.6,1804.9,1798.2,1764.5,1772.3,1788.3,1784.8,1808.5,1807.88,1799.03,1793.19333333333,1808.8,"5","12"
2021-12-31,1828.6,1814.1,1805.8,1810.9,1808.8,1811.7,1802.2,1788.7,1794.6,1804.9,1798.2,1764.5,1772.3,1788.3,1810.26666666667,1810.26,1803.99,1795.1,1810.9,"6","12"
